Категория;Ссылка на категорию;Наименование;Артикул;Материал;Наличие;Цена;Старая цена;Ссылка на карточку с товаром;Страна производитель;Производитель;Импортер в РБ;Гарантия;Код товара
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая Ravak ASYMMETRIC 150X100 L, белая C441000000;C441000000;No information;No;1 903;No;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_ravak_asymmetric_150x100_l_belaya_c441000000/;Чехия;Равак а.с. Обесписка 285, 261 01 Пршибрам, Чехия / RAVAK a. s. Obecnicka 285, 261 01 Pribram I, Czech Republic;"ООО ""Сан Суплай"" г. Минск, Бетонный проезд, 21";10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая асимметричная правая с ножками, без панели Bonito Home MAYA 1700X1100 P;MAYA 1700X1100 P;акрил;6;872,50;948,50;https://santehshop.by/catalog/tovary_na_sklade/vanna_akrilovaya_asimmetrichnaya_pravaya_s_nozhkami_bez_paneli_bonito_home_maya_1700x1100_p/;Польша;ППХУ Центрум Сп. з.о.о., ул. Баторего 81, 33-300 Новы-Сонч, Польша / PPHU CENTRUM Sp. z o.o., ul. Batorego 81, 33-300 Nowy Sacz, Poland;"ОДО ""CНАБСТРОЙСЕРВИС"" г. Минск, ул. Скрыганова,6/4-8";10 лет/на ножки 2 года;СБ-00007646
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home DAISY 160*70, белый BH-DA-202-160/St;BH-DA-202-160/St;акрил;3;480,50;522;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_daisy_160_70_belyj_bh_da_202_160_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая Ravak DOMINO 150х70, белая C641000000;C641000000;No information;No;1 257;No;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_ravak_domino_150kh70_belaya_c641000000/;Чехия;Равак а.с. Обесписка 285, 261 01 Пршибрам, Чехия / RAVAK a. s. Obecnicka 285, 261 01 Pribram I, Czech Republic;"ООО ""Сан Суплай"" г. Минск, Бетонный проезд, 21";10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая левая с ножками Standart Bonito Home ROSA 150*100, белый BH-RA-101-150L/St;BH-RA-101-150L/St;акрил;3;758,50;824,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_levaya_s_nozhkami_standart_bonito_home_rosa_150_100_belyj_bh_ra_101_150l_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home MALVA 170*70, белый BH-MA-204-170/St;BH-MA-204-170/St;акрил;3;513;557,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_malva_170_70_belyj_bh_ma_204_170_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая Ravak NEW DAY 140x140, белая C651000000;C651000000;No information;No;2 691;No;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_ravak_new_day_140x140_belaya_c651000000/;Чехия;Равак а.с. Обесписка 285, 261 01 Пршибрам, Чехия / RAVAK a. s. Obecnicka 285, 261 01 Pribram I, Czech Republic;"ООО ""Сан Суплай"" г. Минск, Бетонный проезд, 21";10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home Bali 160*70, белый BH-BA-201-160/St;BH-BA-201-160/St;акрил;3;480,50;522;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_bali_160_70_belyj_bh_ba_201_160_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками, без панели Centrum Bonito Home DELIA 1700X750;DELIA 1700X750;акрил;5;640,50;696,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bez_paneli_centrum_bonito_home_delia_1700x750/;Польша;ППХУ Центрум Сп. з.о.о., ул. Баторего 81, 33-300 Новы-Сонч, Польша / PPHU CENTRUM Sp. z o.o., ul. Batorego 81, 33-300 Nowy Sacz, Poland;"ОДО ""CНАБСТРОЙСЕРВИС"" г. Минск, ул. Скрыганова,6/4-8";13 лет/на ножки 2 года;СБ-00006763
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home DAISY 170*70, белый BH-DA-202-170/St;BH-DA-202-170/St;акрил;3;509,50;554;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_daisy_170_70_belyj_bh_da_202_170_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая Ravak CLASSIC 160x70 N, белая C531000000;C531000000;No information;No;1 906;No;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_ravak_classic_160x70_n_belaya_c531000000/;Чехия;Равак а.с. Обесписка 285, 261 01 Пршибрам, Чехия / RAVAK a. s. Obecnicka 285, 261 01 Pribram I, Czech Republic;"ООО ""Сан Суплай"" г. Минск, Бетонный проезд, 21";10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая асимметричная правая с ножками, без панели Bonito Home MAYA 1700X1100 P;MAYA 1700X1100 P;акрил;6;872,50;948,50;https://santehshop.by/catalog/tovary_na_sklade/vanna_akrilovaya_asimmetrichnaya_pravaya_s_nozhkami_bez_paneli_bonito_home_maya_1700x1100_p/;Польша;ППХУ Центрум Сп. з.о.о., ул. Баторего 81, 33-300 Новы-Сонч, Польша / PPHU CENTRUM Sp. z o.o., ul. Batorego 81, 33-300 Nowy Sacz, Poland;"ОДО ""CНАБСТРОЙСЕРВИС"" г. Минск, ул. Скрыганова,6/4-8";10 лет/на ножки 2 года;СБ-00007646
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home MALVA 150*70, белый BH-MA-204-150/St;BH-MA-204-150/St;акрил;3;482;524;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_malva_150_70_belyj_bh_ma_204_150_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая Ravak FORMY 01 170x75, белая C691000000;C691000000;No information;No;1 938;No;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_ravak_formy_01_170x75_belaya_c691000000/;Чехия;Равак а.с. Обесписка 285, 261 01 Пршибрам, Чехия / RAVAK a. s. Obecnicka 285, 261 01 Pribram I, Czech Republic;"ООО ""Сан Суплай"" г. Минск, Бетонный проезд, 21";10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая левая с ножками Standart Bonito Home ROSA 150*100, белый BH-RA-101-150L/St;BH-RA-101-150L/St;акрил;3;758,50;824,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_levaya_s_nozhkami_standart_bonito_home_rosa_150_100_belyj_bh_ra_101_150l_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая левая Ravak ROSA 150x95 L, белая C551000000;C551000000;No information;No;2 171;No;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_levaya_ravak_rosa_150x95_l_belaya_c551000000/;Чехия;Равак а.с. Обесписка 285, 261 01 Пршибрам, Чехия / RAVAK a. s. Obecnicka 285, 261 01 Pribram I, Czech Republic;"ООО ""Сан Суплай"" г. Минск, Бетонный проезд, 21";10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая левая с ножками Super Bonito Home Arizona 170*105, белый BH-AR-102-170L/Su;BH-AR-102-170L/Su;акрил;3;849;922,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_levaya_s_nozhkami_super_bonito_home_arizona_170_105_belyj_bh_ar_102_170l_su/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home Bali 160*70, белый BH-BA-201-160/St;BH-BA-201-160/St;акрил;3;480,50;522;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_bali_160_70_belyj_bh_ba_201_160_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая ассиметричная Centrum Bonito Home Atria;No;No information;14;1 049;No;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_assimetrichnaya_centrum_bonito_home_atria/?oid=16392;Польша;No information;No information;10 лет/на ножки 2 года;СБ-00006155
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Centrum Bonito home ARALIA 170X75;ARALIA 1700X750;акрил;24;594,50;646;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_centrum_bonito_home_aralia_170x75/;Польша;ППХУ Центрум Сп. з.о.о., ул. Баторего 81, 33-300 Новы-Сонч, Польша / PPHU CENTRUM Sp. z o.o., ul. Batorego 81, 33-300 Nowy Sacz, Poland;"ОДО ""Снабстройсервис"", г. Минск, СКРЫГАНОВА В.В. ул., дом № 6, корпус 4, офис 8";12 лет/на ножки 2 года;СБ-00006761
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая ассиметричная Centrum Bonito Home Atria;No;No information;14;1 049;No;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_assimetrichnaya_centrum_bonito_home_atria/?oid=16392;Польша;No information;No information;10 лет/на ножки 2 года;СБ-00006155
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home DAISY 140*70, белый BH-DA-202-140/St;BH-DA-202-140/St;акрил;3;431;468,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_daisy_140_70_belyj_bh_da_202_140_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home MALVA 150*70, белый BH-MA-204-150/St;BH-MA-204-150/St;акрил;3;482;524;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_malva_150_70_belyj_bh_ma_204_150_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая правая с ножками Standart Bonito Home ROSA 170*110, белый BH-RA-101-170P/St;BH-RA-101-170P/St;акрил;3;811;881,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_pravaya_s_nozhkami_standart_bonito_home_rosa_170_110_belyy_bh_ra_101_170p_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая левая с ножками Super Bonito Home Arizona 170*105, белый BH-AR-102-170L/Su;BH-AR-102-170L/Su;акрил;3;849;922,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_levaya_s_nozhkami_super_bonito_home_arizona_170_105_belyj_bh_ar_102_170l_su/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home Elara 170*75, белый BH-EL-203-170-75/St;BH-EL-203-170-75/St;акрил;3;579,50;630;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_elara_170_75_belyj_bh_el_203_170_75_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая левая с ножками Super Bonito Home Arizona 160*105, белый BH-AR-102-160L/Su;BH-AR-102-160L/Su;акрил;3;814;885;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_levaya_s_nozhkami_super_bonito_home_arizona_160_105_belyj_bh_ar_102_160l_su/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Centrum Bonito home ARALIA 170X75;ARALIA 1700X750;акрил;24;594,50;646;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_centrum_bonito_home_aralia_170x75/;Польша;ППХУ Центрум Сп. з.о.о., ул. Баторего 81, 33-300 Новы-Сонч, Польша / PPHU CENTRUM Sp. z o.o., ul. Batorego 81, 33-300 Nowy Sacz, Poland;"ОДО ""Снабстройсервис"", г. Минск, СКРЫГАНОВА В.В. ул., дом № 6, корпус 4, офис 8";12 лет/на ножки 2 года;СБ-00006761
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая Ravak CAMPANULA II 170x75, белая CA21000000;CA21000000;No information;No;1 531;No;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_ravak_campanula_ii_170x75_belaya_ca21000000/;Чехия;Равак а.с. Обесписка 285, 261 01 Пршибрам, Чехия / RAVAK a. s. Obecnicka 285, 261 01 Pribram I, Czech Republic;"ООО ""Сан Суплай"" г. Минск, Бетонный проезд, 21";10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая асимметричная левая с ножками с панелью Cersanit KALIOPE 170x110 (S301-114+S401-095);S301-114+S401-095;акрил;No;1 488,50;No;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_asimmetrichnaya_levaya_s_nozhkami_s_panelyu_cersanit_kaliope_170x110_s301_114_s401_/;-;"""CERSANIT II"", SPOLKA AKCYJNA, ul.Jozefa Bema, nr 2, miejsc. STARACHOWICE, kod 27-200, kraj POLSKA";"ОДО ""CНАБСТРОЙСЕРВИС"" г. Минск, ул. Скрыганова,6/4-8";7 лет на ванны /3 года панели;25665+25667
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home DAISY 140*70, белый BH-DA-202-140/St;BH-DA-202-140/St;акрил;3;431;468,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_daisy_140_70_belyj_bh_da_202_140_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая Centrum Bonito home Salsa 170X70;SALSA 1700X700;акрил;25;535;581,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_centrum_bonito_home_salsa_170x700/;Польша;ППХУ Центрум Сп. з.о.о., ул. Баторего 81, 33-300 Новы-Сонч, Польша / PPHU CENTRUM Sp. z o.o., ul. Batorego 81, 33-300 Nowy Sacz, Poland;"ОДО ""CНАБСТРОЙСЕРВИС"" г. Минск, ул. Скрыганова,6/4-8";15 лет/на ножки 2 года;СБ-00006154
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая правая с ножками Standart Bonito Home ROSA 170*110, белый BH-RA-101-170P/St;BH-RA-101-170P/St;акрил;3;811;881,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_pravaya_s_nozhkami_standart_bonito_home_rosa_170_110_belyy_bh_ra_101_170p_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками, без панели Centrum Bonito Home DELIA 1700X700;DELIA 1700X700;акрил;12;596;647,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bez_paneli_centrum_bonito_home_delia_1700x700/;Польша;ППХУ Центрум Сп. з.о.о., ул. Баторего 81, 33-300 Новы-Сонч, Польша / PPHU CENTRUM Sp. z o.o., ul. Batorego 81, 33-300 Nowy Sacz, Poland;"ОДО ""CНАБСТРОЙСЕРВИС"" г. Минск, ул. Скрыганова,6/4-8";13 лет/на ножки 2 года;СБ-00006148
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками без панели Bonito Home JULIA 1700x750;JULIA 1700x750;акрил;17;709;770,50;https://santehshop.by/catalog/tovary_na_sklade/vanna_akrilovaya_s_nozhkami_bez_paneli_bonito_home_julia_1700x750/;Польша;ППХУ Центрум Сп. з.о.о., ул. Баторего 81, 33-300 Новы-Сонч, Польша / PPHU CENTRUM Sp. z o.o., ul. Batorego 81, 33-300 Nowy Sacz, Poland;"ОДО ""CНАБСТРОЙСЕРВИС"" г. Минск, ул. Скрыганова,6/4-8";13 лет/на ножки 2 года;СБ-00006747
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая левая с ножками Super Bonito Home Arizona 160*105, белый BH-AR-102-160L/Su;BH-AR-102-160L/Su;акрил;3;814;885;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_levaya_s_nozhkami_super_bonito_home_arizona_160_105_belyj_bh_ar_102_160l_su/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home Andro 140*140, белый BH-AN-301-140/Su;BH-AN-301-140/Su;акрил;3;907;986;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_andro_140_140_belyj_bh_an_301_140_su/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home Selena 150*70, белый BH-SE-501-150/St;BH-SE-501-150/St;акрил;3;620;674;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_selena_150_70_belyj_bh_se_501_150_st/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home Andro 150*150, белый BH-AN-301-150/Su;BH-AN-301-150/Su;акрил;4;1 027,50;1 116,50;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_andro_150_150_belyj_bh_an_301_150_su/;Польша;No information;No information;10 лет;No information
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая асимметричная левая с ножками с панелью Cersanit KALIOPE 170x110 (S301-114+S401-095);S301-114+S401-095;акрил;No;1 488,50;No;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_asimmetrichnaya_levaya_s_nozhkami_s_panelyu_cersanit_kaliope_170x110_s301_114_s401_/;-;"""CERSANIT II"", SPOLKA AKCYJNA, ul.Jozefa Bema, nr 2, miejsc. STARACHOWICE, kod 27-200, kraj POLSKA";"ОДО ""CНАБСТРОЙСЕРВИС"" г. Минск, ул. Скрыганова,6/4-8";7 лет на ванны /3 года панели;25665+25667
Акриловые;https://santehshop.by/catalog/vanny/akrilovye/;Ванна акриловая с ножками Bonito Home Bali 150*70, белый BH-BA-201-150/St;BH-BA-201-150/St;акрил;1;456,50;496;https://santehshop.by/catalog/vanny/akrilovye/vanna_akrilovaya_s_nozhkami_bonito_home_bali_150_70_belyj_bh_ba_201_150_st/;Польша;No information;No information;10 лет;No information
